Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;StraÃŸe;PLZ;Ort;AufgabentrÃ¤ger;VerkehrsverbÃ¼nde;Fernverkehr;Nahverkehr
Hessen;Kurhessenbahn (KHB);8263;Ahnatal-Casselbreite;FATC;KHB 1;Casselbreite;34292;Ahnatal;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);2616;Ahnatal-Heckershausen;FHEH;KHB 1;BahnhofstraÃŸe;34292;Ahnatal;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);6618;Ahnatal-Weimar;FWEI;KHB 1;Raiffeisenplatz;34292;Ahnatal;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);33;Aich (Niederbay);MAIC;SOB;Am Bahnberg 1;84155;Bodenkirchen;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Hessen;Kurhessenbahn (KHB);102;Altenhasungen;FAHN;KHB 1;HardtstraÃŸe;34466;Wolfhagen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);106;Altenmarkt (Alz);MATM;SOB;MargaretenstraÃŸe;83352;Altenmarkt a.d. Alz;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);127;AltÃ¶tting;MAT;SOB;Bahnhofsplatz 1;84503;AltÃ¶tting;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Westfrankenbahn (WFB);138;Amorbach;NAMB;WFB 2;Am Bahnhof;63916;Amorbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Sachsen;Erzgebirgsbahn (EGB);153;Annaberg-Buchholz Mitte;DABM;EGB;TalstraÃŸe;9456;Annaberg-Buchholz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);154;Annaberg-Buchholz SÃ¼d;DAB;EGB;Schneeberger StraÃŸe;9456;Annaberg-Buchholz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);155;Annaberg-Buchholz unt Bahnhof;DABU;EGB;Bahnhofsplatz;9456;Annaberg-Buchholz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);162;Antonsthal;DATL;EGB;TalstraÃŸe;8359;Breitenbrunn;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);165;Anzenkirchen;MAK;SOB;Bahnhofstr.;84371;Triftern;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Westfrankenbahn (WFB);4666;Aschaffenburg-Obernau;NOBN;WFB 2;Obernheimweg;63743;Aschaffenburg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Sachsen;Erzgebirgsbahn (EGB);205;Aue (Sachs);DAU;EGB;LÃ¶ÃŸnitzer StraÃŸe;8280;Aue;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8216;Aue (Sachs) Erzgebirgsstadion;DAUS;EGB;LÃ¶ÃŸnitzer StraÃŸe (Am Stadion);8280;Aue;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Hessen;Kurhessenbahn (KHB);7463;Bad Arolsen;FAR;KHB 1;Am Bahnhof 1;34454;Bad Arolsen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);255;Bad Birnbach;MBIB;SOB;BahnhofstraÃŸe 10;84364;Bad Birnbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);283;Bad HÃ¶henstadt;MBHT;SOB;Obersulzbach;94081;FÃ¼rstenzell;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);3487;Bad Laasphe;ELSP;KHB 3;BahnhofstraÃŸe;57334;Bad Laasphe;Zweckverband Nahverkehr Westfalen-Lippe;Zweckverband / Verkehrsgemeinschaft Westfalen-SÃ¼d;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);8223;Bad Laasphe-Niederlaasphe;ENL;KHB 3;EntenbergstraÃŸe;57334;Bad Laasphe;Zweckverband Nahverkehr Westfalen-Lippe;Zweckverband / Verkehrsgemeinschaft Westfalen-SÃ¼d;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);305;Bad Mergentheim;TBMR;WFB 1;Bahnhofsplatz;97980;Bad Mergentheim;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5587;Bad Schlema;DSUB;EGB;HauptstraÃŸe;8301;Bad Schlema;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Hessen;Kurhessenbahn (KHB);362;Bad Wildungen;FBWD;KHB 1;BahnhofstraÃŸe;34537;Bad Wildungen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);407;BÃ¤renstein (Kr Annaberg);DBS;EGB;BahnhofstraÃŸe;9471;BÃ¤renstein;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);434;Bayerbach;MBYB;SOB;BahnhofstraÃŸe 28;94137;Bayerbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);445;Bechstedt-Trippstein;UBET;OBS;OrtsstraÃŸe 45;7426;Bechstedt;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);8217;BibelÃ¶d;MBID;SOB;BibelÃ¶d 6;83324;Ruhpolding;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Hessen;Kurhessenbahn (KHB);620;Biedenkopf;FBIK;KHB 2;Am Bahnhof;35216;Biedenkopf;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8218;Biedenkopf Wirtschafts- und ;FBIZ;KHB 2;Vater-Jahn-StraÃŸe;35216;Biedenkopf;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);6502;Biedenkopf-Wallau;FWA;KHB 2;BahnhofstraÃŸe;35216;Biedenkopf;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);657;Birkenbringhausen;FBBH;KHB 1;BahnhofstraÃŸe;35099;Burgwald;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);697;Blaufelden;TBLF;WFB 1;BahnhofstraÃŸe;74572;Blaufelden;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;KreisVerkehr SchwÃ¤bisch Hall;nein;ja
Sachsen;Erzgebirgsbahn (EGB);711;Blumenau;DBLU;EGB;HauptstraÃŸe;9526;Olbernhau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);745;BÃ¶digheim;RBGH;WFB 1;Bahnhofsweg;74722;Buchen (Odenwald);Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);848;Breitenbrunn (Erzgeb);DBRE;EGB;SchachtstraÃŸe;8359;Breitenbrunn;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);930;Buchen im Odenwald;RBUN;WFB 1;EisenbahnstraÃŸe;74722;Buchen (Odenwald);Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);931;Buchen Ost;RBUO;WFB 1;Am Wartberg;74722;Buchen (Odenwald);Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Hessen;Kurhessenbahn (KHB);932;Buchenau (Lahn);FBNU;KHB 2;ElmshÃ¤user StraÃŸe;35232;Dautphetal;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);985;Burghausen;MBUH;SOB;Berliner Platz 2;84489;Burghausen;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);990;Burgkirchen;MBGK;SOB;RupertusstraÃŸe 16-26;84508;Burgkirchen a.d.Alz;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1001;Burkhardtsdorf;DBUF;EGB;BahnhofstraÃŸe;9235;Burkhardtsdorf;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8219;Burkhardtsdorf Mitte;DBUM;EGB;Ahnerweg;9235;Burkhardtsdorf;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1018;Cainsdorf;DCDF;EGB;Am Hammerwald;8064;Zwickau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Hessen;Kurhessenbahn (KHB);1023;Caldern;FCLD;KHB 2;Zum Wollenberg;35094;Lahntal;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1047;Chemnitz-Erfenschlag;DCE;EGB;Paul-Franke-StraÃŸe;9125;Chemnitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1051;Chemnitz-Reichenhain;DCRE;EGB;Erfenschlager StraÃŸe;9125;Chemnitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);5210;Collenberg;NRF;WFB 2;BahnhofstraÃŸe;97903;Collenberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);1094;Cursdorf;UCF;OBS;BahnhofstraÃŸe 6;98744;Cursdorf;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);1228;Distelhausen;TDIH;WFB 1;Baumgartenweg;97941;Tauberbischofsheim;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1232;Dittersdorf;DDF;EGB;BahnhofstraÃŸe;9439;Amtsberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);1233;Dittigheim;TDM;WFB 1;FrombergstraÃŸe;97941;Tauberbischofsheim;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1267;Dorfchemnitz (b ZwÃ¶nitz);DDCH;EGB;An der Bahn;9619;ZwÃ¶nitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);1272;Dorfprozelten;NDP;WFB 2;BahnstraÃŸe;97904;Dorfprozelten;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);1460;Edelfingen;TED;WFB 1;Wilhelm-Frank-StraÃŸe;97980;Bad Mergentheim;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);1466;Edling;MEDL;SOB;BahnstraÃŸe 3-15;83533;Edling;Bayrische Eisenbahn Gesellschaft;MÃ¼nchener Verkehrs- und Tarifverbund;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);1474;Eggenfelden;MEGF;SOB;BahnhofstraÃŸe 3-8;84307;Eggenfelden;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);8209;Eggenfelden Mitte;MEFM;SOB;Spirknerallee 2-6;84307;Eggenfelden;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);1477;Egglkofen;MEGK;SOB;BahnhofstraÃŸe 13;84546;Egglkofen;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Hessen;Kurhessenbahn (KHB);1490;Ehringen;FEGN;KHB 1;Niederelsunger StraÃŸe 33;34471;Volkmarsen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1524;Einsiedel;DED;EGB;Am Einsiedler Bahnhof;9123;Chemnitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8220;Einsiedel Gymnasium;DEDH;EGB;Einsiedler HauptstraÃŸe;9123;Chemnitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);1531;EisenÃ¤rzt;MEZT;SOB;DorfstraÃŸe;83313;Siegsdorf;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);1559;Elpersheim;TELP;WFB 1;DeutschordenstraÃŸe;97990;Weikersheim;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);1600;Engertsham;MEGH;SOB;RaiffeisenstraÃŸe 22;94081;FÃ¼rstenzell;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1629;Erdmannsdorf-Augustusburg;DEA;EGB;Am Bahnhof;9573;Augustusburg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1648;Erla;DERA;EGB;Karlsbader StraÃŸe;8340;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1649;Erlabrunn (Erzgeb);DERB;EGB;Schwarzenberger StraÃŸe;8359;Erlabrunn;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);1656;Erlenbach am Main;NERL;WFB 2;BahnhofstraÃŸe;63906;Erlenbach a.Main;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Hessen;Kurhessenbahn (KHB);1661;Ernsthausen (Kr Frankenberg);FERH;KHB 1;Marburger StraÃŸe;35099;Burgwald;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1745;FÃ¤hrbrÃ¼cke;DFBE;EGB;BahnhofstraÃŸe;8134;LangenweiÃŸbach;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1750;Falkenau (Sachs);DFU;EGB;Am Haltepunkt;9557;Falkenau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);1766;Faulbach (Main);NFCH;WFB 2;HauptstraÃŸe;97906;Faulbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);1786;Feudingen;EFEU;KHB 3;Sieg-Lahn-StraÃŸe;57334;Bad Laasphe;Zweckverband Nahverkehr Westfalen-Lippe;Zweckverband / Verkehrsgemeinschaft Westfalen-SÃ¼d;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8221;FlÃ¶ha-Plaue;DFLP;EGB;Augustusburger StraÃŸe;9557;FlÃ¶ha;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1820;FloÃŸmÃ¼hle;DFM;EGB;MÃ¼hlenstraÃŸe;9579;Wildenstein;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);1837;Forsting;MFOS;SOB;Bahnweg 3;83539;Pfaffing;Bayrische Eisenbahn Gesellschaft;MÃ¼nchener Verkehrs- und Tarifverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1841;Frankenberg (Eder);FFRK;KHB 1;Am Bahnhof;35066;Frankenberg;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8302;Frankenberg (Eder) GoÃŸberg;FFRG;KHB 1;Otto-StÃ¶lker-StraÃŸe;35066;Frankenberg / Eder;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);7512;Frankenberg (Eder) ViermÃ¼nden;FVI;KHB 1;Am Schmittenbach;35066;Frankenberg (Eder);Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Westfrankenbahn (WFB);1920;Freudenberg-Kirschfurt;NFM;WFB 2;Am Bahnhof;97896;Collenberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);1928;Fridolfing;MFDF;SOB;Wiesenweg 10;83413;Fridolfing;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Hessen;Kurhessenbahn (KHB);1933;Friedensdorf (Lahn);FFRD;KHB 2;WilhelmshÃ¼tter StraÃŸe;35232;Dautphetal;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1964;Fritzlar;FFZ;KHB 1;Am GÃ¼terbahnhof;34560;Fritzlar;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1979;FÃ¼rstenwald;FFNW;KHB 1;BahnhofstraÃŸe ;34379;Calden;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);1982;FÃ¼rstenzell;MFZL;SOB;Aspertsham 55;94081;FÃ¼rstenzell;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);2004;Gamburg;TGAM;WFB 1;BahnhofstraÃŸe;97956;Werbach;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
